timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-23_23-37-54,5.3,82.2,55.1,272,276246685787227
2025-10-23_23-37-54,5.3,82.2,55.1,272,276246685787227
2025-10-23_23-38-05,8.7,82.3,55.1,272,276246685787227
2025-10-23_23-45-17,4.4,83.1,55.1,266,276246685787227
2025-10-23_23-50-01,3.2,83.9,55.1,267,276246685787227
2025-10-23_23-52-28,2.5,84.1,55.1,275,276246685787227
2025-10-23_23-54-40,4.8,84.4,55.1,270,276246685787227
2025-10-23_23-54-40,4.8,84.4,55.1,270,276246685787227
2025-10-23_23-54-53,8.2,84.4,55.1,271,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-56,8.2,86.6,55.1,274,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-56,8.2,86.6,55.1,274,276246685787227
2025-10-24_00-01-09,11.0,86.5,55.1,274,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-56,8.2,86.6,55.1,274,276246685787227
2025-10-24_00-01-09,11.0,86.5,55.1,274,276246685787227
2025-10-24_00-01-24,12.4,86.6,55.1,273,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-56,8.2,86.6,55.1,274,276246685787227
2025-10-24_00-01-09,11.0,86.5,55.1,274,276246685787227
2025-10-24_00-01-24,12.4,86.6,55.1,273,276246685787227
2025-10-24_00-01-35,7.9,86.1,55.1,271,276246685787227
2025-10-24_00-00-45,7.5,86.2,55.1,273,276246685787227
2025-10-24_00-00-56,8.2,86.6,55.1,274,276246685787227
2025-10-24_00-01-09,11.0,86.5,55.1,274,276246685787227
2025-10-24_00-01-24,12.4,86.6,55.1,273,276246685787227
2025-10-24_00-01-35,7.9,86.1,55.1,271,276246685787227
2025-10-24_00-01-46,8.1,86.1,55.1,271,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
