timestamp,processo,cpu,ram,disco,mac
2025-10-23_23-37-54,idea64.exe,0.1,9.8,176.5,276246685787227
2025-10-23_23-37-54,MemCompression,0.0,4.4,0.0,276246685787227
2025-10-23_23-37-54,Code.exe,0.0,4.3,2.6,276246685787227
2025-10-23_23-37-54,firefox.exe,0.0,3.0,17.2,276246685787227
2025-10-23_23-37-54,firefox.exe,0.3,2.5,143.8,276246685787227
2025-10-23_23-38-05,idea64.exe,0.0,9.8,176.5,276246685787227
2025-10-23_23-38-05,MemCompression,0.0,4.4,0.0,276246685787227
2025-10-23_23-38-05,Code.exe,0.0,4.3,2.6,276246685787227
2025-10-23_23-38-05,firefox.exe,0.0,3.0,17.2,276246685787227
2025-10-23_23-38-05,firefox.exe,0.0,2.5,144.1,276246685787227
2025-10-23_23-45-17,idea64.exe,0.2,9.6,178.3,276246685787227
2025-10-23_23-45-17,MemCompression,0.0,4.1,0.0,276246685787227
2025-10-23_23-45-17,Code.exe,0.0,3.9,2.7,276246685787227
2025-10-23_23-45-17,firefox.exe,0.0,3.1,22.0,276246685787227
2025-10-23_23-45-17,firefox.exe,0.0,3.0,92.4,276246685787227
2025-10-23_23-50-01,idea64.exe,0.3,9.6,179.4,276246685787227
2025-10-23_23-50-01,MemCompression,0.0,4.3,0.0,276246685787227
2025-10-23_23-50-01,Code.exe,0.0,3.8,2.8,276246685787227
2025-10-23_23-50-01,firefox.exe,0.0,3.1,22.7,276246685787227
2025-10-23_23-50-01,firefox.exe,0.0,2.9,95.0,276246685787227
2025-10-23_23-52-28,idea64.exe,0.0,9.5,180.1,276246685787227
2025-10-23_23-52-28,MemCompression,0.0,4.2,0.0,276246685787227
2025-10-23_23-52-28,Code.exe,0.0,3.8,2.8,276246685787227
2025-10-23_23-52-28,firefox.exe,0.0,3.2,23.3,276246685787227
2025-10-23_23-52-28,firefox.exe,0.0,3.2,124.5,276246685787227
2025-10-23_23-54-40,idea64.exe,0.0,9.4,180.6,276246685787227
2025-10-23_23-54-40,MemCompression,0.0,4.6,0.0,276246685787227
2025-10-23_23-54-40,Code.exe,0.0,4.1,3.5,276246685787227
2025-10-23_23-54-40,firefox.exe,0.0,3.0,23.7,276246685787227
2025-10-23_23-54-40,firefox.exe,0.0,3.0,127.1,276246685787227
2025-10-23_23-54-53,idea64.exe,0.0,9.4,180.6,276246685787227
2025-10-23_23-54-53,MemCompression,0.0,4.6,0.0,276246685787227
