timestamp,cpu,ram,disco,qtd_processos,uptime,mac,modelo,idEmpresa
2025-11-25_23-30-42,5.7,85.7,58.5,299,724987.0000495911,154724027927939,Modelo A,1
2025-11-25_23-30-42,5.7,85.7,58.5,299,724987.0000495911,154724027927939,Modelo A,1
2025-11-25_23-31-01,9.4,86.1,58.5,301,725006.1084470749,154724027927939,Modelo A,1
2025-11-25_23-30-42,5.7,85.7,58.5,299,724987.0000495911,154724027927939,Modelo A,1
2025-11-25_23-31-01,9.4,86.1,58.5,301,725006.1084470749,154724027927939,Modelo A,1
2025-11-25_23-31-22,12.1,85.6,58.5,302,725027.8518989086,154724027927939,Modelo A,1
2025-11-25_23-30-42,5.7,85.7,58.5,299,724987.0000495911,154724027927939,Modelo A,1
2025-11-25_23-31-01,9.4,86.1,58.5,301,725006.1084470749,154724027927939,Modelo A,1
2025-11-25_23-31-22,12.1,85.6,58.5,302,725027.8518989086,154724027927939,Modelo A,1
2025-11-25_23-31-41,9.3,85.6,58.5,303,725046.4851169586,154724027927939,Modelo A,1
